sample_type,sra_bioproject,geo_sample,geo_accession,sra_biosample,sample,kit,chemistry,strand,azimuth_ref,doublet_rate
sample,PRJNA749866,AS3,NONE,SAMN20423168,AS3_SAMN20423168,3',v3.1,F,pbmcref,0.8
sample,PRJNA749866,AS2,NONE,SAMN20423167,AS2_SAMN20423167,3',v3.1,F,pbmcref,0.8
sample,PRJNA749866,AS1,NONE,SAMN20423166,AS1_SAMN20423166,3',v3.1,F,pbmcref,0.8
sample,PRJNA749866,HC3,NONE,SAMN20423165,HC3_SAMN20423165,3',v3.1,F,pbmcref,0.8
sample,PRJNA749866,HC2,NONE,SAMN20423164,HC2_SAMN20423164,3',v3.1,F,pbmcref,0.8
sample,PRJNA749866,HC1,NONE,SAMN20423163,HC1_SAMN20423163,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-01-1-GEX-S1,GSM5833269,SAMN25241888,PBMC-01-1-GEX-S1_SAMN25241888,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-01-2-GEX-S1,GSM5833270,SAMN25241889,PBMC-01-2-GEX-S1_SAMN25241889,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-01-3-GEX-S1,GSM5833271,SAMN25241890,PBMC-01-3-GEX-S1_SAMN25241890,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-01-4-GEX-S1,GSM5833272,SAMN25241891,PBMC-01-4-GEX-S1_SAMN25241891,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-07-2-GEX-S7,GSM5833274,SAMN25241893,PBMC-07-2-GEX-S7_SAMN25241893,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-07-4-GEX-S7,GSM5833275,SAMN25241894,PBMC-07-4-GEX-S7_SAMN25241894,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-07-3-GEX-S7,GSM5833278,SAMN25241897,PBMC-07-3-GEX-S7_SAMN25241897,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-06-1-GEX-S7,GSM5833279,SAMN25241898,PBMC-06-1-GEX-S7_SAMN25241898,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-06-3-GEX-S7,GSM5833281,SAMN25241900,PBMC-06-3-GEX-S7_SAMN25241900,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-06-2-GEX-S7,GSM5833283,SAMN25241902,PBMC-06-2-GEX-S7_SAMN25241902,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-06-4-GEX-S7,GSM5833285,SAMN25241904,PBMC-06-4-GEX-S7_SAMN25241904,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-04-1-GEX-S4,GSM5833286,SAMN25241905,PBMC-04-1-GEX-S4_SAMN25241905,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-04-2-GEX-S4,GSM5833288,SAMN25241908,PBMC-04-2-GEX-S4_SAMN25241908,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-04-4-GEX-S4,GSM5833290,SAMN25241910,PBMC-04-4-GEX-S4_SAMN25241910,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-04-3-GEX-S4,GSM5833292,SAMN25241912,PBMC-04-3-GEX-S4_SAMN25241912,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-05-4-GEX-S5,GSM5833294,SAMN25241914,PBMC-05-4-GEX-S5_SAMN25241914,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-05-2-GEX-S5,GSM5833296,SAMN25241916,PBMC-05-2-GEX-S5_SAMN25241916,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-05-1-GEX-S5,GSM5833298,SAMN25241918,PBMC-05-1-GEX-S5_SAMN25241918,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-05-3-GEX-S5,GSM5833300,SAMN25241920,PBMC-05-3-GEX-S5_SAMN25241920,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-03-4-GEX-S3,GSM5833302,SAMN25241922,PBMC-03-4-GEX-S3_SAMN25241922,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-03-1-GEX-S3,GSM5833304,SAMN25241924,PBMC-03-1-GEX-S3_SAMN25241924,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-03-2-GEX-S3,GSM5833306,SAMN25241926,PBMC-03-2-GEX-S3_SAMN25241926,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-03-3-GEX-S3,GSM5833308,SAMN25241928,PBMC-03-3-GEX-S3_SAMN25241928,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-02-1-GEX-S2,GSM5833310,SAMN25241930,PBMC-02-1-GEX-S2_SAMN25241930,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-02-4-GEX-S2,GSM5833312,SAMN25241932,PBMC-02-4-GEX-S2_SAMN25241932,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-02-3-GEX-S2,GSM5833314,SAMN25241934,PBMC-02-3-GEX-S2_SAMN25241934,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-02-2-GEX-S2,GSM5833316,SAMN25241936,PBMC-02-2-GEX-S2_SAMN25241936,3',v3.1,F,pbmcref,0.8
pool,PRJNA800261,PBMC-07-1-GEX-S7,GSM5833273,SAMN25241892,PBMC-07-1-GEX-S7_SAMN25241892,3',v3.1,F,pbmcref,0.8
